NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
AKDENIZ S,15907S,9519377,3FTE7,128.6 m,119.8 m,18 m,8.8 m,6.5 m,6019,3502,9161 ton,https://www.vesselfinder.com/vessels/details/9519377
WILSON POLICE,08899A,9373539,LAOB8,89.9 m,84.7 m,14.5 m,7.35 m,6.3 m,2990,1686,5000 ton,https://www.vesselfinder.com/vessels/details/9373539
ARKLOW BEACON,20403E,9638795,General cargo ship,119.49 m,116.89 m,14.99 m,7.19 m,2524 mm,5065,2655,8661 ton,https://www.vesselfinder.com/vessels/details/9638795
JAGUAR,19439G,9613628,General cargo ship,107.95 m,99.67 m,16 m,9.3 m,6.45 m,5198,1997,6555 ton,https://www.vesselfinder.com/vessels/details/9613628
ASYA S,21938X,9558995,3E2017,104.2 m,97.5 m,17.2 m,8.5 m,6.6 m,4433,2526,6558 ton,https://www.vesselfinder.com/vessels/details/9558995
DON DANIEL,980L58,9011947,DUH-3583,88.4 m,79.93 m,15 m,7.5 m,6.01 m,2815,1532,4110 ton,https://www.vesselfinder.com/vessels/details/9011947
SIFTERI,17870B,9452323,D5ZN8,131.55 m,122.62 m,18.8 m,9.4 m,6.9 m,7180,3728,10588 ton,https://www.vesselfinder.com/vessels/details/9452323
FIGARO,01505N,9240732,YLRY,79.99 m,78.8 m,10.4 m,4.8 m,3.85 m,1435,722,1700 ton,https://www.vesselfinder.com/vessels/details/9240732
KWINTEBANK,02042W,9234288,General cargo ship,132.23 m,123.84 m,15.87 m,11.15 m,7.75 m,6378,3099,9857 ton,https://www.vesselfinder.com/vessels/details/9234288
FAGELGRACHT,42129U,9428425,General cargo ship,137.07 m,128.94 m,18.9 m,11.65 m,8.52 m,8620,4398,12191 ton,https://www.vesselfinder.com/vessels/details/9428425
ELKE K.,37236B,9879040,General cargo ship,86.93 m,84.98 m,15 m,7.17 m,6.35 m,2999,1731,5180 ton,https://www.vesselfinder.com/vessels/details/9879040
WILSON THAMES,00596A,9177894,8PAM7,89.6 m,84.6 m,11.65 m,5.8 m,4.49 m,1846,1081,2500 ton,https://www.vesselfinder.com/vessels/details/9177894
OCEAN EXPRESS,41881A,9347085,General cargo ship,84.98 m,15.2 m,6.9 m,5.31 m,1296 mm,3172,4309 ton,89.95 m,https://www.vesselfinder.com/vessels/details/9347085
JALONBORG,00934S,9201956,PFBH,88.95 m,84.95 m,12.4 m,5.65 m,4.34 m,2080,1168,2800 ton,https://www.vesselfinder.com/vessels/details/9201956
ADALADY,29957P,9306421,General cargo ship,108.2 m,104.11 m,18.2 m,9 m,7.04 m,5581,2849,8259 ton,https://www.vesselfinder.com/vessels/details/9306421
EEMS SKY,09713K,9421647,PHJF,87.27 m,83.2 m,11.45 m,5.85 m,4.26 m,1862,920,2600 ton,https://www.vesselfinder.com/vessels/details/9421647
AHMET AGAOGLU,38Q723,9082001,Cargo ship,88.55 m,80.74 m,14.85 m,7.35 m,6.01 m,2868,1534,4304 ton,https://www.vesselfinder.com/vessels/details/9082001
TINA C,08903E,9416331,General cargo ship,99.6 m,94.5 m,14.5 m,7.35 m,6.2 m,3391,1963,5000 ton,https://www.vesselfinder.com/vessels/details/9416331
AQUA JUNIOR,10017Q,9411800,LEHA,68.36 m,64.51 m,11.8 m,5.68 m,932 mm,1918,981,2572 ton,https://www.vesselfinder.com/vessels/details/9411800
WESERBORG,35912M,9505558,PCIZ,106.97 m,103.29 m,18.2 m,10.5 m,8.29 m,6668,3625,9685 ton,https://www.vesselfinder.com/vessels/details/9505558
EEMS TRAVELLER,00932Q,9218234,PECH,90 m,84.65 m,13.75 m,5.55 m,4.35 m,2214,1164,2903 ton,https://www.vesselfinder.com/vessels/details/9218234
MOLENGRACHT,42109X,9571533,General cargo ship,142.1 m,132.74 m,18.9 m,11.65 m,8.4 m,9524,4402,12252 ton,https://www.vesselfinder.com/vessels/details/9571533
KOTA BUANA,19901J,9638628,General cargo ship,179.5 m,169.5 m,27.2 m,14.5 m,10.5 m,20886,11064,27263 ton,https://www.vesselfinder.com/vessels/details/9638628
BARGE 8,24306W,8660715,General cargo ship,69.8 m,67.4 m,13.4 m,4.35 m,3.3 m,1221,561,2130 ton,https://www.vesselfinder.com/vessels/details/8660715
SWAYDA,27406R,9751705,Deck ship,60.3 m,14 m,3.65 m,2.7 m,971 mm,929,278,64 m,https://www.vesselfinder.com/vessels/details/9751705
OHIOBORG,25222S,9423657,PHOL,89.99 m,84.95 m,12.58 m,8 m,5.3 m,2528,1053,3650 ton,https://www.vesselfinder.com/vessels/details/9423657
FLUVIUS AXE,39B837,9163623,8PBN5,89.99 m,84.99 m,12.5 m,6 m,4.7 m,2316,1290,3171 ton,https://www.vesselfinder.com/vessels/details/9163623
GT PIKE,24198E,9373278,V2RA7,84.99 m,12.5 m,7 m,5.42 m,1597 mm,2545,3850 ton,88.6 m,https://www.vesselfinder.com/vessels/details/9373278
FIRDEVS,39F128,9100140,J8B5569,90.2 m,84.99 m,13.6 m,7.2 m,5.69 m,2769,1548,4200 ton,https://www.vesselfinder.com/vessels/details/9100140
UNISTAR,15865W,9559901,V2FW7,132.2 m,124.56 m,15.87 m,9.65 m,7.78 m,6351,3617,9688 ton,https://www.vesselfinder.com/vessels/details/9559901
MARIE,10542L,9252929,ONJC,88.47 m,84.68 m,11.35 m,6.4 m,4.94 m,2061,1161,2974 ton,https://www.vesselfinder.com/vessels/details/9252929
THEBE,00598C,9199696,V2OS,89.6 m,84.6 m,11.65 m,5.8 m,4.49 m,1846,1081,2500 ton,https://www.vesselfinder.com/vessels/details/9199696
VICTORIABORG,01913G,9234276,Cargo / Container ship,132.23 m,124.59 m,15.87 m,9.65 m,8.07 m,6361,3099,9826 ton,https://www.vesselfinder.com/vessels/details/9234276
BAY PEARL,19759E,9460801,C6FE8,188.5 m,184 m,32.26 m,17.18 m,12.14 m,29847,15882,51703 ton,https://www.vesselfinder.com/vessels/details/9460801
FWN PERFORMER,28958D,9770701,PBRD,124.67 m,119.22 m,18 m,10.7 m,7.86 m,6740,3423,10620 ton,https://www.vesselfinder.com/vessels/details/9770701
SUAT KARABEKIR,09440N,9391452,3FUW4,100.3 m,90.54 m,17 m,8.64 m,7.4 m,4179,2111,7208 ton,https://www.vesselfinder.com/vessels/details/9391452
O7 VEGA S,12393X,9484247,V2QL8,132.2 m,124.56 m,15.87 m,11.16 m,7.78 m,6351,3617,9862 ton,https://www.vesselfinder.com/vessels/details/9484247
JARYEH,24840C,9717814,Deck ship,60.3 m,14 m,3.65 m,2.7 m,971 mm,969,278,64 m,https://www.vesselfinder.com/vessels/details/9717814
HAV SKANDIC,33528V,8719114,General cargo ship,69.1 m,12.7 m,8.6 m,6.1 m,2211 mm,2026,3090 ton,74.65 m,https://www.vesselfinder.com/vessels/details/8719114
TAGUS RIVER,30063E,9368596,3ETZ4,116.94 m,16.5 m,6.2 m,5.06 m,749 mm,4922,2841,6354 ton,https://www.vesselfinder.com/vessels/details/9368596
RHOON C,01464T,9226164,PEBL,82.2 m,79.21 m,11.3 m,5.4 m,4.28 m,1780,912,2440 ton,https://www.vesselfinder.com/vessels/details/9226164
HESTIA,10015N,9411783,General cargo ship,88.97 m,84.99 m,11.8 m,5.4 m,1360 mm,2281,1229,3609 ton,https://www.vesselfinder.com/vessels/details/9411783
RIMINI,09712J,9421635,PHJC,87.27 m,83.2 m,11.42 m,5.85 m,4.26 m,1862,920,2620 ton,https://www.vesselfinder.com/vessels/details/9421635
AMELAND,17351M,9508794,General cargo ship,122.1 m,115.4 m,16.5 m,10 m,7.2 m,6046,2959,7653 ton,https://www.vesselfinder.com/vessels/details/9508794
RIX MELODY,39L616,9142631,5BXV5,89 m,84.5 m,13.35 m,8.6 m,7 m,2904,1656,5390 ton,https://www.vesselfinder.com/vessels/details/9142631
