NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
EVA USUKI,31374E,9865532,Oil tanker / Chemical tanker,145.5,137,23.7,13.35,9.7,11773,6073,19808,https://www.vesselfinder.com/vessels/details/9865532
IZABEL,13919G,9531765,Asphalt carrier,110.2,102,18.2,10,6.7,5832,1749,6603,https://www.vesselfinder.com/vessels/details/9531765
SEA LOYALTY,27851A,9672313,Oil tanker,91.2,85,15.2,7.3,7.3,2993,1159,3987,https://www.vesselfinder.com/vessels/details/9672313
PERICLES,41391S,9396488,Oil tanker / Chemical tanker,183,174,32.2,19.1,13,30120,13312,50564,https://www.vesselfinder.com/vessels/details/9396488
ERICUSA M,08964V,9367372,IBCC,147.5,140,22.4,9.75,3273,11393,5891,18000,https://www.vesselfinder.com/vessels/details/9367372
GUNGA,11620H,9479668,Oil tanker / Chemical tanker,109,102.3,16.8,6.65,1661,4242,1992,6480,https://www.vesselfinder.com/vessels/details/9479668
TWINKLE STAR,26068M,9363780,Oil tanker,179.8,171,32.2,18.8,12.12,28113,12193,45750,https://www.vesselfinder.com/vessels/details/9363780
SRI TAPEE,25748P,9750361,Oil tanker,77,72.8,15,7,4.8,2398,812,3007,https://www.vesselfinder.com/vessels/details/9750361
CHIOS I,29832D,9792187,Oil tanker,274.3,269.9,48,23.2,17.15,82605,52005,156984,https://www.vesselfinder.com/vessels/details/9792187
DING HENG 38,44226Y,9406726,Oil tanker / Chemical tanker,164.36,155.4,23,12.8,9.55,12902,6705,19934,https://www.vesselfinder.com/vessels/details/9406726
IMAN BAHRAM MAMMADZADEH,38537Q,9736688,Oil tanker / Chemical tanker,139.95,133.96,16.6,6,4.6,4684,2273,7139,https://www.vesselfinder.com/vessels/details/9736688
P K A,13729A,9169770,Oil tanker / Chemical tanker,135.94,22.5,11.25,8.7,2562,10321,15441,144.53,https://www.vesselfinder.com/vessels/details/9169770
SANA,01765V,9228590,Oil tanker / Chemical tanker,92.27,86.34,13.6,7.65,6.1,2659,1301,4473,https://www.vesselfinder.com/vessels/details/9228590
CARIBBEAN ALLIANCE,16071V,9359923,Oil tanker,151.75,142.6,22.4,12.6,9,11487,5450,17000,https://www.vesselfinder.com/vessels/details/9359923
CHEM PREMIER,42360V,9402811,Oil tanker / Chemical tanker,144.22,134.04,23,12.4,9.1,11999,5154,16625,https://www.vesselfinder.com/vessels/details/9402811
